account_id,bank_district_id,date,year,LOR,disp_id,client_id,client_district_id,gender,age,age_group,total_credit96,total_withdrawal96,RFM_score,total_credit97,total_withdrawal97,had_loan_1997,had_card_issued_1997
576,55,930101,1993,3,692,692,74,F,60,60,152194.6,140838.4,12,76270.7,75149.2,0,0
3818,74,930101,1993,3,4601,4601,1,M,61,60,469612.8,447070.4,11,245999.9,226375.2,0,0
704,55,930101,1993,3,844,844,22,M,51,50,457029.8,437062.4,12,228921.4,220651.2,0,0
2378,16,930101,1993,3,2873,2873,16,F,21,20,664545.4,633310.2,11,197472.3,270719.2,0,0
2632,24,930102,1993,3,3177,3177,24,M,58,50,186658.9,191071.2,9,187028.5,166171.2,0,0
1972,77,930102,1993,3,2397,2397,46,M,78,70,64589.5,60917.2,7,64691.5,69337.2,0,0
1539,1,930103,1993,3,1866,1866,64,F,54,50,403412,405665,10,145339.3,162152.4,0,0
793,47,930103,1993,3,950,950,76,F,31,30,84046.6,72498.4,8,42035.3,55089.2,0,0
2484,74,930103,1993,3,2999,2999,74,F,17,10,193219.8,195715.2,9,197405.7,182595.2,0,0
1695,76,930103,1993,3,2058,2058,76,M,25,20,432463.5,403130.2,10,598822.1,586691.2,0,0
1726,48,930103,1993,3,2093,2093,48,M,26,20,372825,374126.4,11,191640.4,186083.2,0,0
2881,70,930104,1993,3,3483,3483,70,M,56,50,128650.1,123483.2,8,111822.8,104483.2,0,0
2357,19,930104,1993,3,2849,2849,19,M,68,60,78441.7,77873.2,8,78362.3,77233.2,0,0
2177,62,930104,1993,3,2636,2636,28,M,78,70,62537.9,71721.2,7,62321,60711.2,0,0
485,6,930104,1993,3,583,583,75,F,31,30,619818.3,631761,11,579663.8,553069,0,0
652,21,930105,1993,3,782,782,5,F,33,30,190880.6,185127.2,9,184332.1,185767.2,0,0
9635,70,930105,1993,3,11552,11860,70,F,71,70,54339.5,50285.2,6,54210.9,59445.2,0,0
1844,44,930106,1993,3,2236,2236,44,F,18,10,40526.8,39247.2,7,40693.7,34927.2,0,0
1926,37,930106,1993,3,2338,2338,58,F,39,30,142369.6,164126.4,10,62078.9,59623.2,0,0
2393,10,930107,1993,3,2889,2889,25,M,53,50,147078.3,150339.2,8,142398.8,138419.2,0,0
3510,41,930107,1993,3,4238,4238,41,F,25,20,203576.7,193828.2,9,201213.6,178981.2,0,0
1276,36,930107,1993,3,1540,1540,36,M,59,50,195423.6,181454.4,10,104881.7,109347.2,0,0
1637,1,930108,1993,3,1984,1984,1,M,70,70,69625.8,70101.2,7,69725.9,66731.2,0,0
3871,26,930108,1993,3,4665,4665,9,F,70,70,108082.4,118822.4,9,53973.6,47291.2,0,0
192,55,930108,1993,3,232,232,55,F,75,70,71722,78141.2,7,71488.8,66871.2,0,0
764,1,930108,1993,3,914,914,1,F,75,70,76020.5,72105.2,6,75785.4,75735.2,0,0
2087,7,930108,1993,3,2530,2530,8,M,46,40,249801.3,248474,9,115532.5,121611,0,0
2122,68,930108,1993,3,2566,2566,29,F,33,30,132410.9,132954.2,8,784704.9,719708.2,0,0
3592,54,930108,1993,3,4335,4335,54,F,72,70,73179.8,82255.2,8,73056.9,68995.2,0,0
3487,41,930108,1993,3,4215,4215,49,F,44,40,210275.2,205535.2,8,210041,198335.2,0,0
435,38,930108,1993,3,523,523,38,M,74,70,61814.1,61573.2,7,61878.5,58983.2,0,0
1730,1,930109,1993,3,2099,2099,1,M,78,70,82377.3,71121.2,7,82509.3,77681.2,0,0
1493,41,930109,1993,3,1810,1810,41,M,77,70,60972,66985.2,8,60874.4,61055.2,0,0
374,38,930109,1993,3,454,454,38,F,47,40,301962,288631.2,10,304763.8,348212.2,0,0
2925,1,930110,1993,3,3533,3533,1,F,33,30,91769.8,100439.2,7,84756.4,81039.2,0,0
866,9,930110,1993,3,1044,1044,9,F,25,20,169219.4,171887.2,10,165894.5,168087.2,0,0
1628,60,930110,1993,3,1973,1973,60,F,65,60,52204.7,47745.2,7,52390.5,53625.2,0,0
2379,44,930110,1993,3,2874,2874,34,M,24,20,66662.4,64747.2,7,66919.8,61747.2,0,0
1979,26,930111,1993,3,2404,2404,27,F,19,10,74802.2,73466.4,11,37170.5,41163.2,0,0
346,37,930111,1993,3,423,423,37,M,39,30,261663.8,258595.2,9,261781.7,260755.2,0,0
1338,74,930111,1993,3,1619,1619,74,F,54,50,681383.6,587900.4,11,211239.6,262335.2,0,0
1909,14,930112,1993,3,2319,2319,40,F,26,20,39181.9,41539.2,6,39063.7,40499.2,0,0
2099,3,930112,1993,3,2542,2542,3,M,52,50,1015204.8,955688,13,518243.7,498664,0,0
3760,44,930113,1993,3,4536,4536,41,M,49,40,464898.4,447008.2,11,626859.4,585775.2,0,0
5270,44,930113,1993,3,6367,6367,44,M,26,20,584763.3,556089.2,11,585066.1,617032.2,0,0
1699,53,930114,1993,3,2064,2064,53,M,70,70,63435.9,65079.2,6,63664.6,54069.2,0,0
3909,1,930114,1993,3,4715,4715,15,F,20,20,319412.3,324083.2,10,319600.3,305583.2,0,0
2926,50,930114,1993,3,3534,3534,50,F,25,20,152156.8,141291.2,9,148661.7,152051.2,0,0
1731,33,930114,1993,3,2100,2100,33,F,65,60,116247.2,115414.4,12,58259.2,57717.2,0,0
11265,15,930114,1993,3,13537,13845,15,M,23,20,112464.4,113411.2,8,100049.9,92931.2,0,0
2519,4,930115,1993,3,3041,3041,4,F,69,60,67871.7,68203.2,7,67894.7,56923.2,0,0
10364,55,930117,1993,3,12446,12754,55,M,36,30,387614.6,394916.4,11,203770.5,187559.2,0,0
1481,15,930117,1993,3,1794,1794,54,F,56,50,38148.1,41535.2,7,38139.7,35365.2,0,0
401,32,930118,1993,3,485,485,32,M,18,10,167717.4,179483.2,8,168066.8,135943.2,0,0
4034,1,930118,1993,3,4862,4862,1,F,53,50,103667.8,90735.2,7,91693.9,81175.2,0,0
2330,54,930119,1993,3,2818,2818,54,M,33,30,41701.3,41701.2,6,41768.2,42691.2,0,0
1806,40,930119,1993,3,2187,2187,40,M,63,60,122891.4,108918.4,12,61548.5,66289.2,0,0
3834,54,930119,1993,3,4620,4620,54,F,56,50,371479.4,388110.4,11,182828.5,183995.2,0,0
1222,66,930120,1993,3,1475,1475,19,M,64,60,77634.9,93239.2,8,77250,72649.2,0,0
212,27,930120,1993,3,255,255,27,F,45,40,652658.6,649126,11,648640.4,667247,0,0
456,49,930121,1993,3,548,548,49,M,59,50,626335.5,643039.2,11,625023.2,616776.2,0,0
459,47,930121,1993,3,551,551,47,F,20,20,8100,9200,7,,1500,0,0
772,45,930121,1993,3,924,924,1,M,43,40,315756.7,332355.2,10,315768.3,313955.2,0,0
1019,52,930121,1993,3,1223,1223,14,F,41,40,262389.4,273183.2,9,265533.3,267023.2,0,0
11295,74,930121,1993,3,13578,13886,44,F,42,40,257359.4,252215.2,9,263372.2,243335.2,0,0
2970,60,930122,1993,3,3586,3586,60,M,53,50,254284.6,263950.4,12,126834.3,143155.2,0,0
2676,73,930122,1993,3,3231,3231,21,M,35,30,201526,192279.2,9,201863.7,206959.2,0,0
1536,41,930122,1993,3,1862,1862,50,F,19,10,411931.4,411019,10,410264.1,409093,0,0
1179,74,930123,1993,3,1419,1419,74,F,78,70,103238.6,87922.4,12,51510.8,55941.2,0,0
280,25,930123,1993,3,338,338,8,F,45,40,159705.7,172351.2,8,166345.4,156471.2,0,0
2425,41,930123,1993,3,2930,2930,41,M,55,50,123473.5,127307.2,9,124305.3,130927.2,0,0
9307,68,930124,1993,3,11153,11461,70,M,22,20,844144.5,815569.2,11,453057.6,435759.2,0,0
4055,23,930124,1993,3,4886,4886,23,M,17,10,265837.6,272595.2,9,265334.2,285435.2,0,0
5065,66,930124,1993,3,6114,6114,66,F,56,50,71811.6,86475.3,7,383693.8,336538.8,0,0
3704,75,930124,1993,3,4466,4466,75,F,74,70,76078.2,72747.2,8,76321.5,63817.2,0,0
477,1,930125,1993,3,574,574,1,M,24,20,215405.6,213799.2,9,215221.6,245399.2,0,0
5891,54,930125,1993,3,7127,7127,3,M,39,30,427984,414007.2,10,458512,483023.2,0,1
1000,77,930125,1993,3,1204,1204,77,F,22,20,410332.1,374327.2,10,413795.4,447819.2,0,0
1750,1,930126,1993,3,2122,2122,1,F,26,20,328613,292215.2,9,338909.5,367315.2,0,1
2023,68,930126,1993,3,2457,2457,68,M,56,50,616605.6,546854.4,11,309182.4,317047.2,0,0
6473,12,930126,1993,3,7815,7815,4,F,50,50,253535.9,290993.4,10,652102.2,635479.2,0,0
1649,46,930126,1993,3,1999,1999,74,F,14,10,76954.5,61775.2,7,97496,114375.2,0,0
2670,13,930127,1993,3,3225,3225,13,M,39,30,318218.9,332079.2,10,318367.5,287179.2,0,0
1127,27,930127,1993,3,1353,1353,27,M,37,30,306091.2,310595.2,10,306369.2,268195.2,0,0
163,30,930127,1993,3,197,197,30,M,63,60,81692.3,72151.2,8,81885.9,79031.2,0,0
2566,48,930127,1993,3,3097,3097,48,M,48,40,7900,8800,7,12300,15100,0,0
9,70,930127,1993,3,12,12,40,M,15,10,28722.2,74625.2,7,80739.4,82925.2,0,0
1144,59,930128,1993,3,1375,1375,69,M,19,10,41340.4,42475.2,7,41509.2,34825.2,0,0
2902,32,930128,1993,3,3507,3507,32,F,50,50,264277,276655.2,10,263991,249055.2,0,0
4296,63,930128,1993,3,5175,5175,63,F,47,40,246747.9,228175.2,8,246207.6,268415.2,0,0
443,64,930128,1993,3,534,534,74,M,39,30,37841.7,36031.2,6,37913.9,36211.2,0,0
3693,61,930129,1993,3,4453,4453,61,F,20,20,458354.8,381918.4,13,219097.8,197679.2,0,0
2070,72,930129,1993,3,2510,2510,72,F,37,30,183588.7,168139.2,9,170733.3,171359.2,0,0
1843,12,930130,1993,3,2235,2235,14,F,56,50,232060.1,244633.1,9,235511.1,208403.2,0,0
2714,1,930130,1993,3,3276,3276,52,M,16,10,111171.1,118175.2,8,92757.2,88475.2,0,0
4078,40,930130,1993,3,4915,4915,40,M,33,30,311209.7,284675.2,10,312618.4,289575.2,0,0
1675,36,930201,1993,3,2034,2034,13,M,70,70,106152.6,101450.4,12,53024.6,60445.2,0,0
5868,44,930202,1993,3,7100,7100,30,F,35,30,155993.8,207929.2,9,294941.4,277494.2,0,0
1805,1,930202,1993,3,2186,2186,48,F,54,50,381287.7,374750.2,11,588259.1,579770.2,0,0
2434,17,930202,1993,3,2940,2940,1,M,31,30,60721,64519.2,7,57829.5,46719.2,0,0
